order_count,noise_relative_sigma,seed,method,dataset_id,feasible,fulfilled_value,penalty_cost,shipping_cost,objective_value,fulfilled_cases,requested_cases,case_fill_rate,value_fill_rate,reassigned_orders,unassigned_orders,runtime_seconds,best_bound,optimality_gap,initial_objective,hybrid_improvement,sampler_backend,sampler_calls,qpu_calls,accepted_moves,raw_one_hot_rate,hybrid_iterations,maximum_qubo_variables,maximum_candidates_per_order,recourse_solves,remote_enabled,qubo_noise_relative_sigma,hybrid_neighborhood_orders,hybrid_qubo_cap,hybrid_candidate_cap,hybrid_num_reads,hybrid_sweeps,hybrid_top_k_recourse
8,0.0,7,default,synthetic-8,True,1667.0,2772.0,4148.8,-5253.8,74.0,176.0,0.42045454545454547,0.4200050390526581,0,0,0.057456638000076055,,,,,,,,,,,,,,,,,,,,,
8,0.0,7,greedy,synthetic-8,True,966.0,3504.0,784.8,-3322.8,42.0,176.0,0.23863636363636365,0.24338624338624337,3,4,0.30200327199963795,,,,,,,,,,,,,,,,,,,,,
8,0.0,7,classical,synthetic-8,True,1129.0,3306.0,1084.8,-3261.8,48.0,176.0,0.2727272727272727,0.28445452254976067,3,3,0.028031687999828137,-3261.8,0.0,,,,,,,,,,,,,,,,,,,
8,0.0,7,hybrid,synthetic-8,True,1224.0,3260.0,1276.0,-3312.0,54.0,176.0,0.3068181818181818,0.30839002267573695,3,3,5.248040472999492,,,-3322.8,10.800000000000182,simulated_annealing,6.0,0.0,1.0,1.0,6.0,32.0,5.0,22.0,False,0.0,8.0,40.0,5.0,32.0,100.0,4.0
8,0.02,7,hybrid,synthetic-8,True,966.0,3504.0,784.8,-3322.8,42.0,176.0,0.23863636363636365,0.24338624338624337,3,4,5.131232316000023,,,-3322.8,0.0,simulated_annealing,6.0,0.0,0.0,1.0,6.0,32.0,5.0,20.0,False,0.02,8.0,40.0,5.0,32.0,100.0,4.0
20,0.0,7,default,synthetic-20,True,5594.0,6403.0,8979.2,-9788.2,241.0,459.0,0.5250544662309368,0.5708745790386774,0,4,0.10246541000014986,,,,,,,,,,,,,,,,,,,,,
20,0.0,7,greedy,synthetic-20,True,5972.0,5187.0,3945.6000000000004,-3160.6000000000004,254.0,459.0,0.5533769063180828,0.6094499438718236,11,6,1.8746036200000162,,,,,,,,,,,,,,,,,,,,,
20,0.0,7,classical,synthetic-20,True,6090.0,5131.0,3936.8,-2977.8,258.0,459.0,0.5620915032679739,0.6214919889784671,12,6,0.9324862860003122,-2948.800000000003,0.009738733291570047,,,,,,,,,,,,,,,,,,,
20,0.0,7,hybrid,synthetic-20,True,5972.0,5187.0,3945.6000000000004,-3160.6000000000004,254.0,459.0,0.5533769063180828,0.6094499438718236,11,6,8.043809712000439,,,-3160.6000000000004,0.0,simulated_annealing,6.0,0.0,0.0,1.0,6.0,27.0,5.0,23.0,False,0.0,8.0,40.0,5.0,32.0,100.0,4.0
20,0.02,7,hybrid,synthetic-20,True,5972.0,5187.0,3945.6000000000004,-3160.6000000000004,254.0,459.0,0.5533769063180828,0.6094499438718236,11,6,8.473313525999401,,,-3160.6000000000004,0.0,simulated_annealing,6.0,0.0,0.0,1.0,6.0,27.0,5.0,21.0,False,0.02,8.0,40.0,5.0,32.0,100.0,4.0
50,0.0,7,default,synthetic-50,True,16669.0,12600.0,21698.4,-17629.4,745.0,1250.0,0.596,0.5901575500088512,0,10,0.20877621500039822,,,,,,,,,,,,,,,,,,,,,
50,0.0,7,greedy,synthetic-50,True,21357.0,7569.0,11648.800000000001,2139.199999999999,920.0,1250.0,0.736,0.7561338289962826,24,16,11.45114629299951,,,,,,,,,,,,,,,,,,,,,
50,0.0,7,hybrid,synthetic-50,True,21357.0,7569.0,11648.800000000001,2139.199999999999,920.0,1250.0,0.736,0.7561338289962826,24,16,19.1386166960001,,,2139.199999999999,0.0,simulated_annealing,6.0,0.0,0.0,1.0,6.0,32.0,5.0,21.0,False,0.0,8.0,40.0,5.0,32.0,100.0,4.0
50,0.02,7,hybrid,synthetic-50,True,21357.0,7569.0,11648.800000000001,2139.199999999999,920.0,1250.0,0.736,0.7561338289962826,24,16,17.41034493999996,,,2139.199999999999,0.0,simulated_annealing,6.0,0.0,0.0,1.0,6.0,32.0,5.0,17.0,False,0.02,8.0,40.0,5.0,32.0,100.0,4.0
